year,month,customer_state,total_price,last_month_price,growth
2018,02,PE,17601.399999999987,15075.929999999988,16.75
2018,03,PE,23216.09000000003,17601.399999999987,31.9
2018,04,PE,18498.6,23216.09000000003,-20.32
2018,05,PE,14393.829999999993,18498.6,-22.19
2018,06,PE,15374.829999999989,14393.829999999993,6.82
2018,07,PE,24885.930000000033,15374.829999999989,61.86
2018,08,PE,12300.82999999999,24885.930000000033,-50.57
2016,10,PI,210.0,,
2017,01,PI,1250.85,210.0,495.64
2017,02,PI,3893.79,1250.85,211.29
2017,03,PI,2106.5000000000005,3893.79,-45.9
2017,04,PI,2661.9100000000003,2106.5000000000005,26.37
2017,05,PI,6047.699999999999,2661.9100000000003,127.19
2017,06,PI,2147.4700000000003,6047.699999999999,-64.49
2017,07,PI,2202.0099999999998,2147.4700000000003,2.54
2017,08,PI,4754.4,2202.0099999999998,115.91
2017,09,PI,3433.15,4754.4,-27.79
2017,10,PI,5054.02,3433.15,47.21
2017,11,PI,2857.7000000000003,5054.02,-43.46
2017,12,PI,2671.9100000000003,2857.7000000000003,-6.5
2018,01,PI,6759.069999999996,2671.9100000000003,152.97
2018,02,PI,4489.619999999999,6759.069999999996,-33.58
2018,03,PI,7119.559999999997,4489.619999999999,58.58
2018,04,PI,11624.919999999996,7119.559999999997,63.28
2018,05,PI,7515.699999999996,11624.919999999996,-35.35
2018,06,PI,4956.019999999999,7515.699999999996,-34.06
2018,07,PI,7328.269999999998,4956.019999999999,47.87
2018,08,PI,3143.13,7328.269999999998,-57.11
2018,10,PI,,3143.13,
2016,10,PR,2124.4100000000008,,
2016,12,PR,10.9,2124.4100000000008,-99.49
2017,01,PR,5486.5299999999925,10.9,50235.14
2017,02,PR,19001.319999999996,5486.5299999999925,246.33
2017,03,PR,17226.78999999999,19001.319999999996,-9.34
2017,04,PR,16454.19999999998,17226.78999999999,-4.48
2017,05,PR,32710.960000000094,16454.19999999998,98.8
2017,06,PR,21668.910000000007,32710.960000000094,-33.76
2017,07,PR,26114.51000000003,21668.910000000007,20.52
2017,08,PR,29758.52000000012,26114.51000000003,13.95
2017,09,PR,23555.920000000053,29758.52000000012,-20.84
